PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,OID,GR,OAB,OABL,OTO,OT,GN
7285007,NLM,MEDLINE,19811222,20131121,0008-5472 (Print) 0008-5472 (Linking),41,10,1981 Oct,Glucocorticoid receptor determinations in leukemia patients using cytosol and whole-cell assays.,3979-84,"Parallel determinations of glucocorticoid receptors in the cells of patients with various forms of leukemia were made by two assay methods, one using cell-free cytosolic extracts and the other using whole-cell preparations. Both assays revealed saturable binding of triamcinolone acetonide in all cases. The mean equilibrium dissociation constant for the interaction of triamcinolone acetonide with the cytoplasmic receptor at 2 degrees was 9.45 +/- 6.33 (S.D.) nM while that for the whole-cell binding at 37 degrees was 6.13 +/- 3.25 nM, suggesting an increase in receptor affinity at physiological temperatures. Competition experiments with various unlabeled steroids revealed a higher degree of glucocorticoid specificity at 37 degrees in whole-cell suspensions than at 2 degrees in cytosol. In a comparative analysis of 41 leukemic cell specimens, it was found that determinations carried out by whole-cell assay, calculated as number of sites per cell correlated well with those performed by cytosol assay, calculated as fmol/mg protein, independent of the type of leukemia. However, for cells with low receptor content, the two assay methods were more difficult to compare. In agreement with previous reports, the cytosol assay consistently underestimated the number of receptors with respect to the whole-cell assay, particularly in cases of lymphatic leukemia. Furthermore, the underestimation decreased for increasing levels of total cellular receptor. These results suggest that, in addition to possible defects in the cytoplasm-to-nucleus translocation process, the acceptor-binding capacity of the nucleus may also represent one of the factors which determines the levels of assayable cytoplasmic receptors. Moreover, they indicate that the two assay methods furnish nonequivalent information.","['Iacobelli, S', 'Natoli, V', 'Longo, P', 'Ranelletti, F O', 'De Rossi, G', 'Pasqualetti, D', 'Mandelli, F', 'Mastrangelo, R']","['Iacobelli S', 'Natoli V', 'Longo P', 'Ranelletti FO', 'De Rossi G', 'Pasqualetti D', 'Mandelli F', 'Mastrangelo R']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Receptors, Glucocorticoid)', '0 (Receptors, Steroid)', 'F446C597KA (Triamcinolone Acetonide)']",IM,"['Cytosol/analysis', 'Humans', 'Leukemia/*analysis', 'Receptors, Glucocorticoid/*analysis', 'Receptors, Steroid/*analysis', 'Temperature', 'Triamcinolone Acetonide/metabolism']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1981 Oct;41(10):3979-84.,,,,,,,,,
7285003,NLM,MEDLINE,19811222,20131121,0008-5472 (Print) 0008-5472 (Linking),41,10,1981 Oct,Improved methotrexate therapy of murine tumors obtained by probenecid-mediated pharmacological modulation at the level of membrane transport.,3944-9,,"['Sirotnak, F M', 'Moccio, D M', 'Hancock, C H', 'Young, C W']","['Sirotnak FM', 'Moccio DM', 'Hancock CH', 'Young CW']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['PO572Z7917 (Probenecid)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Biological Transport, Active/drug effects', 'Bone Marrow/metabolism', 'Female', 'Kidney/metabolism', 'Kinetics', 'Leukemia L1210/*drug therapy/metabolism', 'Liver/metabolism', 'Methotrexate/metabolism/*therapeutic use', 'Mice', 'Mice, Inbred Strains', 'Probenecid/*pharmacology', 'Sarcoma 180/*drug therapy/metabolism']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1981 Oct;41(10):3944-9.,,,,"['CA-08748/CA/NCI NIH HHS/United States', 'CA-18856/CA/NCI NIH HHS/United States', 'CA-22764/CA/NCI NIH HHS/United States']",,,,,
7284998,NLM,MEDLINE,19811222,20131121,0008-5472 (Print) 0008-5472 (Linking),41,10,1981 Oct,"Response of L1210 leukemia to treatment with 1,3-bis(2-chloroethyl)-1-nitrosourea plus 4'-demethylepipodophyllotoxin-9-(4,6-O-2-thenylidene-beta-D-glucopyranoside).",3891-5,,"['Roberts, D', 'Peck, C', 'Hilliard, S', 'Karas, J G']","['Roberts D', 'Peck C', 'Hilliard S', 'Karas JG']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['6PLQ3CP4P3 (Etoposide)', 'L36H50F353 (Podophyllotoxin)', 'U68WG3173Y (Carmustine)']",IM,"['Animals', 'Carmustine/*administration & dosage', 'Dose-Response Relationship, Drug', 'Drug Synergism', 'Drug Therapy, Combination', 'Etoposide/*administration & dosage', 'Female', 'Leukemia L1210/*drug therapy', 'Mice', 'Mice, Inbred Strains', 'Podophyllotoxin/*analogs & derivatives', 'Prognosis']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1981 Oct;41(10):3891-5.,,,,"['CA-12732/CA/NCI NIH HHS/United States', 'CA-21765/CA/NCI NIH HHS/United States', 'CA-23337/CA/NCI NIH HHS/United States']",,,,,
7284978,NLM,MEDLINE,19811215,20190620,0008-543X (Print) 0008-543X (Linking),48,8,1981 Oct 15,Hairy cell leukemia in father and son.,1825-9,"A father and son hairy cell leukemia are identified on the basis of tartrate-resistant acid-phosphatase-positive hairy cells and diagnostic bone core biopsies. Personal interviews of the two patients revealed no evidence of consanguinity, primary immune deficiency, or common medication use. HLA typing revealed both patients to be A1,3 and B8,14.","['Ramseur, W L', 'Golomb, H M', 'Vardiman, J W', 'Oleske, D', 'Collins, J L']","['Ramseur WL', 'Golomb HM', 'Vardiman JW', 'Oleske D', 'Collins JL']",['eng'],"['Case Reports', 'Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,['EC 3.1.3.2 (Acid Phosphatase)'],IM,"['Acid Phosphatase/blood', 'Aged', 'Blood Cell Count', 'Bone Marrow/pathology', 'Histocompatibility Testing', 'Humans', 'Leukemia, Hairy Cell/blood/*genetics/pathology', 'Male', 'Middle Aged']",1981/10/15 00:00,1981/10/15 00:01,['1981/10/15 00:00'],"['1981/10/15 00:00 [pubmed]', '1981/10/15 00:01 [medline]', '1981/10/15 00:00 [entrez]']",['10.1002/1097-0142(19811015)48:8<1825::aid-cncr2820480820>3.0.co;2-6 [doi]'],ppublish,Cancer. 1981 Oct 15;48(8):1825-9. doi: 10.1002/1097-0142(19811015)48:8<1825::aid-cncr2820480820>3.0.co;2-6.,,,,,,,,,
7284956,NLM,MEDLINE,19811221,20190620,0008-543X (Print) 0008-543X (Linking),48,7,1981 Oct 1,Effect of high-dose thymidine infusions in patients with mycosis fungoides.,1513-6,"The antitumor effect of thymidine has been demonstrated in patients with leukemia and lymphoma. This report summarizes the treatment of three patients with mycosis fungoides, a chronic T-cell lymphoma. Four courses of thymidine (75 g/m2/day) were administered by continuous infusion for 4-7 days. Steady-state serum thymidine levels were in the range of 1-3 mM. Associated toxicities were minimal and consisted of milk headache and anorexia. Myelosuppression was manifested by transient declines in the peripheral leukocyte count. One patient had extensive clearing of diffuse erythematous plaques on the trunk and extremities that persisted for over one month. A second patient had partial clearing of plaques that persisted for two weeks following therapy and a third patient had a minimal response with 25% reduction in lymphadenopathy and noduloulcerative lesions. These responses indicate the effectiveness of thymidine as a single agent in the treatment of mycosis fungoides.","['Kufe, D W', 'Wick, M M', 'Moschella, S', 'Major, P']","['Kufe DW', 'Wick MM', 'Moschella S', 'Major P']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,['VC2W18DGKR (Thymidine)'],IM,"['Aged', 'Female', 'Humans', 'Infusions, Parenteral', 'Middle Aged', 'Mycosis Fungoides/*drug therapy/pathology', 'Thymidine/*administration & dosage/adverse effects']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.1002/1097-0142(19811001)48:7<1513::aid-cncr2820480705>3.0.co;2-q [doi]'],ppublish,Cancer. 1981 Oct 1;48(7):1513-6. doi: 10.1002/1097-0142(19811001)48:7<1513::aid-cncr2820480705>3.0.co;2-q.,,,,['CA-19589/CA/NCI NIH HHS/United States'],,,,,
7284379,NLM,MEDLINE,19811215,20190610,0006-3002 (Print) 0006-3002 (Linking),654,2,1981 Jul 27,Divalent cation-dependent pyridoxal 5'-phosphate inhibition of Rauscher leukemia virus DNA polymerase: characterization and mechanism of action.,227-35,"We have shown that pyridoxal 5'-phosphate is an effective inhibitor of Rauscher leukemia virus DNA polymerase (Biochemistry 15 (1976) 3620). Detailed studies of this inhibition revealed that, in addition to the phosphate and aldehyde groups of pyridoxal phosphate, the presence of a divalent cation is essential for the inhibitory action. The synthesis directed by template primers containing GC base-pairs exhibited more resistance to pyridoxal phosphate inhibition than did that directed by AT base-paired templates. Maximal inhibitory activity of pyridoxal phosphate, however, is noted in the presence of Mn2+, irrespective of which template-primer is used to direct the DNA synthesis. The action of pyridoxal phosphate on the substrate binding site may be deduced from the observations that: (a) only the substrate triphosphate is able to reverse the pyridoxal phosphate-mediated inhibition; (b) the inhibition kinetics exhibit a classical competitive pattern with the substrate; (c) analogous to substrate deoxynucleoside triphosphates the inhibitor is also accepted only in the form of its divalent metal ion complex; and (d) substrate site-specific labeling of RLV DNA polymerase has been shown to occur by linking covalently the pyridoxal phosphate bound to a lysine residue at the substrate binding site.","['Modak, M J', 'Dumaswala, U J']","['Modak MJ', 'Dumaswala UJ']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Deoxyribonucleotides)', '0 (Nucleic Acid Synthesis Inhibitors)', '0 (Polydeoxyribonucleotides)', '29855-95-6 (poly(dC-dG))', '42Z2K6ZL8P (Manganese)', '5V5IOJ8338 (Pyridoxal Phosphate)', '9007-49-2 (DNA)', 'I38ZP9992A (Magnesium)']",IM,"['Binding Sites', 'DNA/biosynthesis', 'Deoxyribonucleotides/pharmacology', 'In Vitro Techniques', 'Magnesium/pharmacology', 'Manganese/pharmacology', '*Nucleic Acid Synthesis Inhibitors', 'Polydeoxyribonucleotides/metabolism', 'Pyridoxal Phosphate/metabolism/*pharmacology', 'Rauscher Virus/*enzymology', 'Substrate Specificity']",1981/07/27 00:00,1981/07/27 00:01,['1981/07/27 00:00'],"['1981/07/27 00:00 [pubmed]', '1981/07/27 00:01 [medline]', '1981/07/27 00:00 [entrez]']","['0005-2787(81)90176-3 [pii]', '10.1016/0005-2787(81)90176-3 [doi]']",ppublish,Biochim Biophys Acta. 1981 Jul 27;654(2):227-35. doi: 10.1016/0005-2787(81)90176-3.,,,,"['1-K04-CA-545/CA/NCI NIH HHS/United States', 'CA-21404/CA/NCI NIH HHS/United States']",,,,,
7284118,NLM,MEDLINE,19811221,20131121,0037-8771 (Print) 0037-8771 (Linking),57,9,1981 May 15,[In vitro cytolysis mediated by NK effectors: modification of the susceptibility of the target cell by in vivo treatment with DTIC].,1024-30,"An antigenically altered DTIC-treated tumor subline was tested for sensitivity to the cytotoxic activity of murine Natural Killer (NK) cells in comparison to that of the original (parental) tumor. Direct lysis assays and ""cold"" inhibition procedures showed that the DTIC-subline is consistently less susceptible to lysis that the parental tumor.","['Migliorati, G', 'Romani, L', 'Fioretti, M C']","['Migliorati G', 'Romani L', 'Fioretti MC']",['ita'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Boll Soc Ital Biol Sper,Bollettino della Societa italiana di biologia sperimentale,7506962,['7GR28W0FJI (Dacarbazine)'],IM,"['Animals', 'Cytotoxicity, Immunologic', 'Dacarbazine/*pharmacology', 'Immunity, Innate', 'Killer Cells, Natural/*immunology', 'Leukemia L5178/*immunology', 'Leukemia, Experimental/*immunology', 'Mice']",1981/05/15 00:00,1981/05/15 00:01,['1981/05/15 00:00'],"['1981/05/15 00:00 [pubmed]', '1981/05/15 00:01 [medline]', '1981/05/15 00:00 [entrez]']",,ppublish,Boll Soc Ital Biol Sper. 1981 May 15;57(9):1024-30.,,"Citolisi in vitro mediata da effettori NK:modulazione della suscettibilita della cellula ""target"" per trattamento in vivo con DTIC.",,,,,,,
7284044,NLM,MEDLINE,19811124,20191023,0197-8462 (Print) 0197-8462 (Linking),2,1,1981,Microwave treatment of intracerebral L1210 leukemia: schedule-dependent partial reversal of the effects of methotrexate.,77-80,"One-GHz microwave (MW) irradiation at a power density of 5 mW/cm2 was combined with methotrexate (MTX) in an attempt to treat more effectively central nervous system (CNS) L1210 leukemia in DBA/2J mice. When mice with CNS leukemia were treated with the combination of MW and MTX, there was no improvement in survival compared with a group of animals treated with MTX alone; however, the group that received MTX before the MW exposure had a significantly reduced survival time compared with the group treated with MTX alone or with the group to which MTX was administered after MW.","['Chang, B K', 'Huang, A T', 'Joines, W T']","['Chang BK', 'Huang AT', 'Joines WT']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Bioelectromagnetics,Bioelectromagnetics,8008281,['YL5FZ2Y5U1 (Methotrexate)'],IM,"['Animals', 'Brain Neoplasms/drug therapy/*radiotherapy', 'Leukemia L1210/drug therapy/*radiotherapy', 'Male', 'Methotrexate/*therapeutic use', 'Mice', 'Mice, Inbred DBA', 'Microwaves/*therapeutic use', 'Neoplasms, Experimental/drug therapy/radiotherapy']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1002/bem.2250020109 [doi]'],ppublish,Bioelectromagnetics. 1981;2(1):77-80. doi: 10.1002/bem.2250020109.,,,,['CA-11265/CA/NCI NIH HHS/United States'],,,,,
7284007,NLM,MEDLINE,19811122,20190612,0006-291X (Print) 0006-291X (Linking),101,1,1981 Jul 16,Modulation of the initiation of mouse beta-globin transcription by non-histone proteins purified from mouse erythropoietic Friend cells.,45-54,,"['Triadou, P', 'Lelong, J C', 'Gros, F', 'Crepin, M']","['Triadou P', 'Lelong JC', 'Gros F', 'Crepin M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Chromosomal Proteins, Non-Histone)', '0 (DNA, Recombinant)', '9004-22-2 (Globins)', 'EC 2.7.7.6 (DNA-Directed RNA Polymerases)', 'EC 2.7.7.7 (DNA-Directed DNA Polymerase)']",IM,"['Animals', 'Cell Nucleus/metabolism', 'Chromosomal Proteins, Non-Histone/*metabolism', 'Cytosol/metabolism', 'DNA, Recombinant/metabolism', 'DNA-Directed DNA Polymerase/metabolism', 'DNA-Directed RNA Polymerases/metabolism', 'Globins/*genetics', 'Leukemia, Experimental/*metabolism', 'Mice', '*Transcription, Genetic']",1981/07/16 00:00,1981/07/16 00:01,['1981/07/16 00:00'],"['1981/07/16 00:00 [pubmed]', '1981/07/16 00:01 [medline]', '1981/07/16 00:00 [entrez]']","['S0006-291X(81)80008-3 [pii]', '10.1016/s0006-291x(81)80008-3 [doi]']",ppublish,Biochem Biophys Res Commun. 1981 Jul 16;101(1):45-54. doi: 10.1016/s0006-291x(81)80008-3.,,,,,,,,,
7283305,NLM,MEDLINE,19811122,20190619,0003-4819 (Print) 0003-4819 (Linking),95,4,1981 Oct,Trimethoprim-Sulfamethoxazole and bacterial infections during leukemia therapy.,508-9,,"['Young, L S']",['Young LS'],['eng'],['Editorial'],United States,Ann Intern Med,Annals of internal medicine,0372351,"['AN164J8Y0X (Trimethoprim)', 'JE42381TNV (Sulfamethoxazole)']",IM,"['Bacterial Infections/*prevention & control', 'Drug Therapy, Combination', 'Humans', 'Leukemia/*complications/drug therapy', 'Sulfamethoxazole/*therapeutic use', 'Trimethoprim/*therapeutic use']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.7326/0003-4819-95-4-508 [doi]'],ppublish,Ann Intern Med. 1981 Oct;95(4):508-9. doi: 10.7326/0003-4819-95-4-508.,,,,,,,,,
